phenotype,marker,chr,pos,ci.low,ci.high,lod,p_pos,p_ci.low,p_ci.high,interval,threshold
P_mean.f,1_236039725,1,131.5597426,124.5,140,5.907046834228424,236.04,219.824,252.86,33.036,4.859
Zn_ratio.i,1_250260813,1,138.6852353,125,192,2.6952547524382027,250.261,219.824,295.969,76.14499999999998,2.463
Zn_leaf.i,1_253435180,1,141.5,108.5,157,3.0272529656398888,253.435,197.892,273.394,75.50200000000001,2.277
Zn_mean.i,1_253435180,1,141.5,60,157.1862151,2.447215541975055,253.435,45.791,273.394,227.603,2.207
Zn_seed.i,1_285288568,1,172.7012894,162.5325334,177,3.296188265743581,285.289,276.485,289.307,12.822000000000003,2.11
Cu_leaf.i,1_287134813,1,174.5535818,56,190,2.4802770684620015,287.135,40.361,294.974,254.613,2.26
Cu_mean.i,1_287134813,1,174.5535818,85.61193868,190,2.32427798398804,287.135,102.949,294.974,192.02499999999998,2.151
B_leaf.i,10_4697245,10,11.5,0,20.5,2.7438042130085876,4.697,1.418,5.879,4.460999999999999,2.517
Mo_seed.i,10_4697245,10,11.5,0,101.6837822,2.526223234721833,4.697,1.418,147.963,146.545,2.496
B_mean.i,10_4697245,10,12,0,20.5,2.743586225513127,4.697,1.418,5.879,4.460999999999999,2.527
B_ratio.i,10_5879336,10,20,0,56.5,2.5101528369497714,5.879,1.418,131.066,129.648,2.435
Mg_mean.i,10_5879336,10,24,4,101.6837822,2.3029694576408133,5.879,1.418,147.963,146.545,2.269
Mg_leaf.i,10_6660268,10,27.04712874,9,101,2.3729002784170348,6.66,4.697,147.963,143.266,2.279
B_seed.i,10_9916580,10,30.53219168,22.5,101.6837822,3.3493015814331253,9.917,5.879,147.963,142.084,2.228
Al_seed.i,10_143871843,10,88.48484981,3.5,101.5,2.5770450285902697,143.872,1.418,147.963,146.545,2.134
Sr_seed.i,2_3396230,2,1,0,13,3.1245436574411976,3.396,3.117,9.985,6.867999999999999,2.092
Ca_seed.i,2_4377056,2,2.5,0,112.5,3.1154774428882206,4.377,3.117,224.308,221.191,2.533
Ca_ratio.i,2_4377056,2,3,0,17,2.942007123741803,4.377,3.117,9.985,6.867999999999999,2.206
Mn_seed.i,2_18759777,2,36,24.5,55.5,2.6386543196758225,18.76,13.295,60.907,47.611999999999995,2.199
Cd_ratio.i,2_59390125,2,55.0565803,0,93.5,2.4112022046877257,59.39,3.117,196.396,193.279,2.329
Cd_leaf.f,2_64908160,2,57.80311193,46,65.66997644,7.236723308105084,64.908,31.829,165.893,134.064,4.625
Cd_mean.f,2_64908160,2,57.80311193,55.57788167,59.28478314,9.005112973164017,64.908,60.907,81.073,20.165999999999997,4.594
Cd_seed.f,2_73588220,2,58.91440599,53.20428791,62,7.755298945263405,73.588,55.845,144.708,88.863,4.954
Co_seed.i,2_184052461,2,74,69.75014123,79,3.3977731465001284,184.052,180.637,187.088,6.450999999999993,2.263
As_seed.i,2_190284898,2,86,78,105.5,4.441284522758053,190.285,186.247,216.327,30.079999999999984,2.446
Cd_seed.i,2_192025993,2,91,54.68620316,101.5,3.434641252041274,192.026,57.558,213.828,156.27,2.472
Cd_leaf.i,2_192025993,2,91.5178764,70.5,104,3.054238881944599,192.026,180.637,216.327,35.69,2.209
Cd_mean.i,2_192025993,2,91.5178764,72,103.5,3.6138574519057727,192.026,182.624,216.327,33.703,2.173
Fe_seed.i,3_1673603,3,1.632973939,0,7.5,3.4555639805278417,1.674,0.992,3.836,2.844,3.26
Ca_seed.i,3_4724131,3,15.27725659,10,79.5,2.987371455910818,4.724,3.836,177.498,173.66199999999998,2.533
Cu_seed.i,3_185298891,3,90.04068992,19.5,116,2.5280086939125397,185.299,5.753,209.683,203.93,2.27
Zn_seed.i,3_188374741,3,93.5,83.22190109,98.5,2.629432259563373,188.375,180.803,194.401,13.598000000000013,2.11
Ni_seed.i,3_191388915,3,97,79.5,111.5,2.2958062192553825,191.389,177.498,208.354,30.856000000000023,2.159
Ni_ratio.i,3_191388915,3,97.31134635,94.27056603,109,3.1534878416759966,191.389,189.299,202.503,13.20399999999998,2.833
K_ratio.f,3_218348206,3,129,111.5,146.5,6.2526123652882575,218.348,208.354,227.217,18.863,4.685
Mo_leaf.i,3_227216761,3,147.3130928,71,153.4687623,2.5421710033285088,227.217,168.906,229.745,60.839,2.339
Mo_mean.i,3_227216761,3,147.3130928,139.5,153.4687623,3.66117443564697,227.217,223.839,229.745,5.906000000000006,2.173
B_ratio.i,3_227448331,3,148.7950081,93,153.4687623,2.59249364849353,227.448,188.375,229.745,41.370000000000005,2.435
Co_leaf.i,4_3467733,4,12,0,148.3819998,2.438054903800918,3.468,1.464,239.753,238.289,2.323
B_mean.i,4_30228728,4,50.30941025,45.5,71,2.916644047188015,30.229,21.693,157.51,135.81699999999998,2.527
B_leaf.i,4_31705828,4,51.79132549,45.5,69.5,2.8809916153341817,31.706,21.693,157.51,135.81699999999998,2.517
B_ratio.i,4_31705828,4,51.79132549,25.73223464,72,3.3754706588964325,31.706,10.189,157.51,147.321,2.435
Rb_leaf.i,4_182468257,4,106,88,140,2.1841981838835522,182.468,171.586,238.062,66.476,2.098
Rb_mean.i,4_182468257,4,106,93,141,2.280465489215146,182.468,176.561,238.495,61.934,2.067
Se_mean.i,4_182468257,4,106.5,98.5,148.3819998,2.7356697653071365,182.468,177.404,239.753,62.34899999999999,2.242
K_ratio.i,4_206542783,4,114.7185805,90.5,147.5,2.2115714579584704,206.543,173.335,239.753,66.41799999999998,2.199
Mn_ratio.i,4_209247854,4,115.4593754,106,148,2.4305256020732315,209.248,182.468,239.753,57.285,2.092
Ca_leaf.i,4_209247854,4,115.5,94.5,148.3819998,2.7229047972260787,209.248,176.915,239.753,62.837999999999994,2.151
Ca_mean.i,4_209247854,4,115.5,94,148.3819998,2.6864699072626195,209.248,176.561,239.753,63.19199999999998,2.17
Mg_seed.i,4_238062250,4,138.2138365,7.5,148.3819998,2.281258463439542,238.062,3.468,239.753,236.285,2.203
Se_seed.i,4_239753141,4,148.3819998,101,148.3819998,3.0812546891255295,239.753,180.804,239.753,58.948999999999984,2.161
Zn_leaf.i,5_5211999,5,11,10.5,46.5,2.2900146627674474,5.212,5.212,22.827,17.615000000000002,2.277
S_ratio.i,5_6378113,5,22.5,7.5,54.36609528,2.1959938348147645,6.378,4.271,33.844,29.573,2.188
B_leaf.i,5_15338061,5,39.56744193,14.5,110.5,2.588553330022478,15.338,6.378,205.209,198.83100000000002,2.517
B_mean.i,5_15338061,5,39.56744193,14.5,112.1451022,2.595596641323482,15.338,6.378,205.564,199.18599999999998,2.527
Rb_seed.i,5_18392687,5,46,40.5,55.47999082,3.20857598241939,18.393,16.638,54.641,38.003,2.134
K_seed.i,5_22827086,5,50,0,112.1451022,3.6041219230825163,22.827,2.269,205.564,203.295,2.056
Fe_ratio.f,5_77302200,5,60.60699645,52.51339597,67,5.253113066536088,77.302,29.728,146.885,117.15699999999998,5.118
Fe_ratio.i,5_77302200,5,60.60699645,50,66.5,5.135214917542271,77.302,22.827,146.885,124.05799999999999,2.694
Sr_seed.i,5_183535847,5,83.77704465,7.5,112,2.3338636063839644,183.536,4.271,205.564,201.293,2.092
Cu_seed.i,5_183659697,5,84.5,65,94,2.6512289159289963,183.66,134.234,195.717,61.483000000000004,2.27
Al_ratio.f,5_198627160,5,96.92225984,96,112,6.141243071363334,198.627,196.156,205.564,9.407999999999987,5.397
Al_mean.i,5_204603681,5,108,38.82664699,112.1451022,2.600234445942931,204.604,15.202,205.564,190.362,2.258
Al_leaf.i,5_204603681,5,108.5,38.82664699,112.1451022,2.8731308678956395,204.604,15.202,205.564,190.362,2.187
Cu_seed.i,6_8402113,6,6,0,89,2.491193847411459,8.402,0.364,158.565,158.201,2.27
Co_ratio.i,6_22982332,6,9.183230351,1,76.5,3.029865246538691,22.982,1.339,151.978,150.639,2.412
Co_leaf.i,6_24282011,6,9.5,0,17.12326239,2.9536229958914078,24.282,0.364,84.002,83.63799999999999,2.323
Na_ratio.i,6_117710924,6,52.5,40,82.5,2.9232997663170295,117.711,105.395,155.3,49.905000000000015,2.857
Na_leaf.i,6_117710924,6,52.9580238,46.5,82.5,3.4627039941212843,117.711,109.14,155.3,46.16000000000001,2.484
Na_mean.i,6_117710924,6,52.9580238,48,81.5,3.5372615004987438,117.711,111.84,155.3,43.46000000000001,2.42
Al_ratio.i,6_151083370,6,75.88940583,52.5,89.5,2.9505473558762105,151.083,117.711,158.565,40.854,2.942
Se_leaf.i,6_160804862,6,97.78660759,89,105.5,3.041176460895258,160.805,158.565,162.84,4.275000000000006,2.699
Rb_ratio.i,6_162840216,6,107,96,110.7469788,3.591061475688889,162.84,160.805,165.686,4.881,2.59
Rb_seed.i,6_162840216,6,107,82,110.7469788,2.327367198276761,162.84,155.3,165.686,10.385999999999996,2.134
Cu_mean.i,7_20213157,7,34.56690503,10,100,2.245825240118279,20.213,4.963,165.627,160.66400000000002,2.151
P_leaf.i,7_36564254,7,39.83663771,37,116.1509347,3.602947182014873,36.564,22.694,170.856,148.162,2.4
P_ratio.f,7_138499631,7,59.5,57,66,5.029854744018184,138.5,134.881,143.431,8.550000000000011,4.619
Cu_leaf.i,7_162075583,7,90,10.5,101,2.2755419107762407,162.076,4.963,165.627,160.66400000000002,2.26
Mn_ratio.i,7_165626664,7,100.5069802,76,107.5,2.5373740131178977,165.627,157.479,168.945,11.46599999999998,2.092
Ni_leaf.i,7_171518597,7,119.5,0,120.3832361,2.541544023664585,171.519,3.004,171.519,168.51500000000001,2.463
Fe_ratio.i,7_171518597,7,120.3832361,0,120.3832361,2.795373281842785,171.519,3.004,171.519,168.51500000000001,2.694
Ni_mean.i,7_171518597,7,120.3832361,114,120.3832361,3.318690052287991,171.519,170.063,171.519,1.4560000000000173,2.156
Ni_seed.i,7_171518597,7,120.3832361,0,120.3832361,2.1613582057115934,171.519,3.004,171.519,168.51500000000001,2.159
Fe_ratio.i,8_8017175,8,20.41542234,14.5,127.7909058,2.6968971098108483,8.017,4.177,175.288,171.11100000000002,2.694
Al_seed.i,8_8017175,8,20.5,14,39,2.330659424603194,8.017,4.177,16.347,12.170000000000002,2.134
Zn_seed.i,8_11572352,8,29,15.5,39,2.5070808944307714,11.572,4.177,16.347,12.170000000000002,2.11
S_leaf.i,8_104147153,8,58,40,75,3.0068768329737168,104.147,16.347,155.183,138.83599999999998,2.316
S_mean.i,8_104147153,8,58.02220517,38.5,74.5,2.575099545318892,104.147,16.347,151.277,134.92999999999998,2.195
As_seed.f,8_170569687,8,113.5,36.5,126,5.096306727516549,170.57,16.347,173.616,157.269,4.937
As_seed.i,8_173342575,8,124.1548456,107.5,127.7909058,3.8191817793278062,173.343,169.937,175.288,5.350999999999999,2.446
Mg_ratio.i,8_173342575,8,124.1548456,102,127.7909058,2.7633525171870588,173.343,169.413,175.288,5.875,2.303
Mg_seed.i,8_173342575,8,124.5,0,127.7909058,2.300794960151279,173.343,0.935,175.288,174.353,2.203
Ni_mean.f,9_2485561,9,0.5,0,5,10.55366883291245,2.486,2.486,5.321,2.8349999999999995,4.564
Ni_ratio.f,9_3654090,9,2.003836085,0,4,7.3969534005499895,3.654,2.486,4.291,1.8050000000000002,5.307
Ni_seed.f,9_4290807,9,2.5,0,4.5,11.996507034738926,4.291,2.486,5.321,2.8349999999999995,4.567
Co_leaf.i,9_7703488,9,9.57310118,0,88,2.551019457995409,7.703,2.486,143.066,140.58,2.323
Co_mean.i,9_7703488,9,9.57310118,0,21.85402581,3.4580292324775144,7.703,2.486,12.107,9.620999999999999,2.472
Al_leaf.i,9_12106919,9,21.85402581,5,46.5,2.3922627356921566,12.107,5.321,24.08,18.759,2.187
Al_mean.i,9_12106919,9,21.85402581,5,45.5,2.2990520951457825,12.107,5.321,24.08,18.759,2.258
Al_ratio.i,9_12726027,9,23,20.5,40.5,3.5849226719900287,12.726,11.403,20.983,9.58,2.942
Al_seed.i,9_13457032,9,24.60116773,18.73913662,46.4353459,2.481182550191555,13.457,11.139,24.08,12.940999999999999,2.134
Na_leaf.f,9_134175873,9,64,57.5,71.5,6.258131167938728,134.176,118.966,139.231,20.265,4.922
Na_mean.f,9_134175873,9,64,57.5,71.5,6.081833524073744,134.176,118.966,139.231,20.265,4.813
Sr_seed.f,9_146412013,9,94.62873448,82.5,104,4.670904962083174,146.412,142.192,149.693,7.501000000000005,4.575
Ni_seed.i,9_149693494,9,102.3053267,94.62873448,118.0826664,2.791471402444216,149.693,146.412,153.187,6.775000000000006,2.159
Ni_mean.i,9_150518204,9,110,95,118.0826664,3.4984433003643858,150.518,146.412,153.187,6.775000000000006,2.156
