phenotype,marker,chr,pos,ci.low,ci.high,lod,p_pos,p_ci.low,p_ci.high,interval,threshold
Mn_ratio.i,2_13839434,2,25.29946024,12,142.5,1.8847013514768776,13.839,9.985,237.075,227.08999999999997,1.845
Mn_seed.i,2_18759777,2,36,24.5,55.5,2.6386543196758225,18.76,13.295,60.907,47.611999999999995,1.94
P_ratio.i,2_20610096,2,37.61384548,19.5,48,2.194484472351821,20.61,9.976,40.635,30.659,1.97
Co_ratio.i,2_25183053,2,42.8096904,26.5,78,2.1305876089048468,25.183,14.349,186.247,171.89800000000002,1.955
K_seed.i,2_25183053,2,42.8096904,24,132,2.0554622643277867,25.183,13.295,233.509,220.214,1.884
Cd_ratio.i,2_59390125,2,55.0565803,0,93.5,2.4112022046877257,59.39,3.117,196.396,193.279,1.919
Cd_leaf.f,2_64908160,2,57.80311193,46,65.66997644,7.236723308105084,64.908,31.829,165.893,134.064,4.659
Cd_seed.f,2_73588220,2,58.91440599,53.20428791,62,7.755298945263405,73.588,55.845,144.708,88.863,5.045
Co_seed.i,2_184052461,2,74,69.75014123,79,3.3977731465001284,184.052,180.637,187.088,6.450999999999993,1.938
Se_seed.i,2_187087652,2,81,0,143.5068393,1.876118529562433,187.088,3.117,237.075,233.958,1.834
As_seed.i,2_190284898,2,86,78,105.5,4.441284522758053,190.285,186.247,216.327,30.079999999999984,2.168
Cd_seed.i,2_192025993,2,91,54.68620316,101.5,3.434641252041274,192.026,57.558,213.828,156.27,2.224
Cd_leaf.i,2_192025993,2,91.5178764,70.5,104,3.054238881944599,192.026,180.637,216.327,35.69,1.942
Mo_seed.i,3_992254,3,0,0,153.4687623,2.1812096154502925,0.992,0.992,229.745,228.75300000000001,2.044
Fe_seed.i,3_1673603,3,1.632973939,0,7.5,3.4555639805278417,1.674,0.992,3.836,2.844,2.983
Ca_seed.i,3_4724131,3,15.27725659,10,79.5,2.987371455910818,4.724,3.836,177.498,173.66199999999998,2.273
Cd_seed.i,3_135531155,3,53.43768955,49,57.5,2.2676166086773435,135.531,52.214,150.209,97.995,2.224
Cu_seed.i,3_185298891,3,90.04068992,19.5,116,2.5280086939125397,185.299,5.753,209.683,203.93,1.865
Zn_seed.i,3_188374741,3,93.5,83.22190109,98.5,2.629432259563373,188.375,180.803,194.401,13.598000000000013,1.892
Ni_seed.i,3_191388915,3,97,79.5,111.5,2.2958062192553825,191.389,177.498,208.354,30.856000000000023,1.886
Ni_ratio.i,3_191388915,3,97.31134635,94.27056603,109,3.1534878416759966,191.389,189.299,202.503,13.20399999999998,2.472
Cd_leaf.i,3_202503292,3,107.5,0,117.956204,1.9520425694016552,202.503,0.992,210.872,209.88000000000002,1.942
Rb_seed.i,3_208353524,3,111.727783,0,153.4687623,1.9711327140586832,208.354,0.992,229.745,228.75300000000001,1.787
K_ratio.f,3_218348206,3,129,111.5,146.5,6.2526123652882575,218.348,208.354,227.217,18.863,4.64
Se_seed.i,3_221655307,3,134.5,8.5,153.4687623,2.1267640911103456,221.655,3.836,229.745,225.909,1.834
Mo_leaf.i,3_227216761,3,147.3130928,71,153.4687623,2.5421710033285088,227.217,168.906,229.745,60.839,2.015
B_seed.i,3_227216761,3,147.5,12.5,153.4687623,1.9084830800798862,227.217,4.724,229.745,225.02100000000002,1.816
B_ratio.i,3_227448331,3,148.7950081,93,153.4687623,2.59249364849353,227.448,188.375,229.745,41.370000000000005,2.131
S_ratio.i,3_229219335,3,151.8357884,0,153.4687623,1.8789879913465057,229.219,0.992,229.745,228.75300000000001,1.878
Mg_ratio.i,3_229744702,3,153.4687623,61.5,153.4687623,2.1407160118343853,229.745,153.961,229.745,75.78399999999999,1.975
Co_leaf.i,4_3467733,4,12,0,148.3819998,2.438054903800918,3.468,1.464,239.753,238.289,1.994
S_ratio.i,4_5714548,4,18,6,117.5,2.1821190079370396,5.715,2.985,227.159,224.17399999999998,1.878
Mo_seed.i,4_9498287,4,22.16788959,3.5,85,2.423128161413908,9.498,2.658,167.468,164.81,2.044
B_leaf.i,4_31705828,4,51.79132549,45.5,69.5,2.8809916153341817,31.706,21.693,157.51,135.81699999999998,2.15
B_ratio.i,4_31705828,4,51.79132549,25.73223464,72,3.3754706588964325,31.706,10.189,157.51,147.321,2.131
Ni_seed.i,4_99952772,4,58.25324753,10,148.3819998,2.1280131784736227,99.953,3.468,239.753,236.285,1.886
Cu_seed.i,4_180803653,4,102.9129493,95.5,131.5,2.1703825421487224,180.804,176.915,235.927,59.012,1.865
Rb_leaf.i,4_182468257,4,106,88,140,2.1841981838835522,182.468,171.586,238.062,66.476,1.772
Co_seed.i,4_182468257,4,107.1452507,31.5,141,2.027377998751973,182.468,11.346,238.495,227.149,1.938
P_ratio.i,4_190074543,4,110.5,0,146,2.12113920891192,190.075,1.464,239.507,238.043,1.97
Ca_leaf.f,4_204546838,4,113.826902,105.5,122.8217731,4.583657614187473,204.547,182.468,234.302,51.834,4.577
K_ratio.i,4_206542783,4,114.7185805,90.5,147.5,2.2115714579584704,206.543,173.335,239.753,66.41799999999998,1.963
As_ratio.i,4_209247854,4,115.4593754,99,130.5,2.2418686459776325,209.248,177.404,235.927,58.522999999999996,1.844
Fe_ratio.i,4_209247854,4,115.4593754,100,130,2.365632201402633,209.248,180.804,235.927,55.12299999999999,2.283
Mn_ratio.i,4_209247854,4,115.4593754,106,148,2.4305256020732315,209.248,182.468,239.753,57.285,1.845
Ca_leaf.i,4_209247854,4,115.5,94.5,148.3819998,2.7229047972260787,209.248,176.915,239.753,62.837999999999994,1.869
Sr_leaf.i,4_230887072,4,118.3543394,94,148.3819998,2.1365824396798416,230.887,176.561,239.753,63.19199999999998,1.96
Mn_leaf.i,4_235926616,4,128.6866699,39.5,148.3819998,2.2174507127574543,235.927,16.153,239.753,223.6,2.087
Mg_ratio.i,4_237685914,4,135.3932696,55.87995091,148.3819998,2.2559175187901914,237.686,65.293,239.753,174.45999999999998,1.975
Mg_seed.i,4_238062250,4,138.2138365,7.5,148.3819998,2.281258463439542,238.062,3.468,239.753,236.285,1.793
Se_seed.i,4_239753141,4,148.3819998,101,148.3819998,3.0812546891255295,239.753,180.804,239.753,58.948999999999984,1.834
Ca_ratio.i,5_4270584,5,7.5,0,79.5,1.9516221401275402,4.271,2.269,180.488,178.219,1.87
K_ratio.i,5_4270584,5,8,0,112.1451022,2.1511388301021555,4.271,2.269,205.564,203.295,1.963
Zn_leaf.i,5_5211999,5,11,10.5,46.5,2.2900146627674474,5.212,5.212,22.827,17.615000000000002,1.952
S_ratio.i,5_6378113,5,22.5,7.5,54.36609528,2.1959938348147645,6.378,4.271,33.844,29.573,1.878
B_leaf.i,5_15338061,5,39.56744193,14.5,110.5,2.588553330022478,15.338,6.378,205.209,198.83100000000002,2.15
Rb_seed.i,5_18392687,5,46,40.5,55.47999082,3.20857598241939,18.393,16.638,54.641,38.003,1.787
K_seed.i,5_22827086,5,50,0,112.1451022,3.6041219230825163,22.827,2.269,205.564,203.295,1.884
Fe_ratio.f,5_77302200,5,60.60699645,52.51339597,67,5.253113066536088,77.302,29.728,146.885,117.15699999999998,5.032
Fe_ratio.i,5_77302200,5,60.60699645,50,66.5,5.135214917542271,77.302,22.827,146.885,124.05799999999999,2.283
Sr_seed.i,5_183535847,5,83.77704465,7.5,112,2.3338636063839644,183.536,4.271,205.564,201.293,1.976
Cu_seed.i,5_183659697,5,84.5,65,94,2.6512289159289963,183.66,134.234,195.717,61.483000000000004,1.865
Fe_leaf.i,5_191642832,5,90.39193994,3.5,101,3.4381262907878636,191.643,3.096,201.924,198.828,3.014
Na_ratio.i,5_196156436,5,95.5,38.82664699,108,2.4817477336405886,196.156,15.202,204.604,189.40200000000002,2.364
Al_ratio.f,5_198627160,5,96.92225984,96,112,6.141243071363334,198.627,196.156,205.564,9.407999999999987,5.351
Al_leaf.i,5_204603681,5,108.5,38.82664699,112.1451022,2.8731308678956395,204.604,15.202,205.564,190.362,1.916
Al_ratio.i,5_205209415,5,110.5,101.5,112.1451022,2.8219143602509575,205.209,201.924,205.564,3.6399999999999864,2.534
Cu_seed.i,6_8402113,6,6,0,89,2.491193847411459,8.402,0.364,158.565,158.201,1.865
Co_ratio.i,6_22982332,6,9.183230351,1,76.5,3.029865246538691,22.982,1.339,151.978,150.639,1.955
Co_leaf.i,6_24282011,6,9.5,0,17.12326239,2.9536229958914078,24.282,0.364,84.002,83.63799999999999,1.994
Ni_seed.i,6_65426554,6,12.7459629,0,110.7469788,2.006100112538334,65.427,0.364,165.686,165.322,1.886
Se_seed.i,6_65426554,6,12.7459629,0,93.5,1.9073140542681415,65.427,0.364,159.577,159.213,1.834
Mo_seed.i,6_103570219,6,37.00860677,3.5,89.5,2.1918548482608315,103.57,1.339,158.565,157.226,2.044
Mg_leaf.i,6_109139878,6,45.83593429,27,101.5,1.9314805662393155,109.14,95.481,162.485,67.00400000000002,1.923
Na_ratio.i,6_117710924,6,52.5,40,82.5,2.9232997663170295,117.711,105.395,155.3,49.905000000000015,2.364
Na_leaf.i,6_117710924,6,52.9580238,46.5,82.5,3.4627039941212843,117.711,109.14,155.3,46.16000000000001,2.023
Al_seed.i,6_117980020,6,55,0,90.5,2.0094315550840633,117.98,0.364,159.211,158.847,1.861
Al_ratio.i,6_151083370,6,75.88940583,52.5,89.5,2.9505473558762105,151.083,117.711,158.565,40.854,2.534
Se_leaf.i,6_160804862,6,97.78660759,89,105.5,3.041176460895258,160.805,158.565,162.84,4.275000000000006,2.313
Sr_leaf.i,6_162840216,6,103.4332358,7.5,110.5,2.009077697693243,162.84,8.402,165.686,157.28400000000002,1.96
Rb_ratio.i,6_162840216,6,107,96,110.7469788,3.591061475688889,162.84,160.805,165.686,4.881,2.351
Rb_seed.i,6_162840216,6,107,82,110.7469788,2.327367198276761,162.84,155.3,165.686,10.385999999999996,1.787
S_ratio.i,7_13179227,7,31.5,18.5,120.3832361,2.09926157330775,13.179,6.555,171.519,164.964,1.878
P_leaf.i,7_36564254,7,39.83663771,37,116.1509347,3.602947182014873,36.564,22.694,170.856,148.162,2.149
S_leaf.i,7_136900478,7,58.90797608,3.5,120.3832361,2.1910290720816192,136.9,3.004,171.519,168.51500000000001,2.01
P_ratio.f,7_138499631,7,59.5,57,66,5.029854744018184,138.5,134.881,143.431,8.550000000000011,4.685
Rb_ratio.i,7_138499631,7,59.799723470000004,36.64493869,114,2.3517438078004886,138.5,22.694,170.063,147.369,2.351
Rb_seed.i,7_138499631,7,59.799723470000004,12.5,118,2.0119792979402007,138.5,4.963,170.856,165.893,1.787
As_leaf.i,7_151568608,7,69.52404617,62.76950452,120.3832361,2.3634367679275954,151.569,140.457,171.519,31.062000000000012,2.247
Cu_leaf.i,7_162075583,7,90,10.5,101,2.2755419107762407,162.076,4.963,165.627,160.66400000000002,1.968
As_ratio.i,7_165384400,7,94,49,120.3832361,2.140334456875337,165.384,124.959,171.519,46.56,1.844
Mn_ratio.i,7_165626664,7,100.5069802,76,107.5,2.5373740131178977,165.627,157.479,168.945,11.46599999999998,1.845
Ni_leaf.i,7_171518597,7,119.5,0,120.3832361,2.541544023664585,171.519,3.004,171.519,168.51500000000001,2.147
Fe_ratio.i,7_171518597,7,120.3832361,0,120.3832361,2.795373281842785,171.519,3.004,171.519,168.51500000000001,2.283
Ni_seed.i,7_171518597,7,120.3832361,0,120.3832361,2.1613582057115934,171.519,3.004,171.519,168.51500000000001,1.886
P_ratio.i,7_171518597,7,120.3832361,37.5,120.3832361,2.1785103136451163,171.519,22.694,171.519,148.82500000000002,1.97
Fe_leaf.i,8_8017175,8,20.41542234,12.5,93,3.234220400414472,8.017,4.177,164.832,160.655,3.014
Fe_ratio.i,8_8017175,8,20.41542234,14.5,127.7909058,2.6968971098108483,8.017,4.177,175.288,171.11100000000002,2.283
Al_seed.i,8_8017175,8,20.5,14,39,2.330659424603194,8.017,4.177,16.347,12.170000000000002,1.861
As_leaf.i,8_9876160,8,22.5,5.5,41,2.513171459483644,9.876,2.792,16.347,13.555000000000001,2.247
Zn_seed.i,8_11572352,8,29,15.5,39,2.5070808944307714,11.572,4.177,16.347,12.170000000000002,1.892
S_leaf.i,8_104147153,8,58,40,75,3.0068768329737168,104.147,16.347,155.183,138.83599999999998,2.01
Cu_seed.i,8_115951348,8,60.54921834,37,127,2.1269918938801027,115.951,16.347,173.834,157.487,1.865
K_seed.i,8_117656599,8,62,54.5,127.7909058,1.9370187743229508,117.657,95.257,175.288,80.031,1.884
Na_ratio.i,8_165539267,8,99.5,87.5,126.5,2.753124759146715,165.539,162.4,173.834,11.433999999999997,2.364
As_seed.f,8_170569687,8,113.5,36.5,126,5.096306727516549,170.57,16.347,173.616,157.269,4.874
As_seed.i,8_173342575,8,124.1548456,107.5,127.7909058,3.8191817793278062,173.343,169.937,175.288,5.350999999999999,2.168
Mg_ratio.i,8_173342575,8,124.1548456,102,127.7909058,2.7633525171870588,173.343,169.413,175.288,5.875,1.975
Mg_seed.i,8_173342575,8,124.5,0,127.7909058,2.300794960151279,173.343,0.935,175.288,174.353,1.793
Cd_ratio.i,9_3654090,9,2.003836085,0,63,2.0495435839546587,3.654,2.486,132.096,129.61,1.919
Ni_ratio.f,9_3654090,9,2.003836085,0,4,7.3969534005499895,3.654,2.486,4.291,1.8050000000000002,5.341
Ni_seed.f,9_4290807,9,2.5,0,4.5,11.996507034738926,4.291,2.486,5.321,2.8349999999999995,4.645
As_ratio.i,9_6006709,9,8,0.5,118.0826664,2.0846231900495695,6.007,2.486,153.187,150.70100000000002,1.844
Co_leaf.i,9_7703488,9,9.57310118,0,88,2.551019457995409,7.703,2.486,143.066,140.58,1.994
Fe_ratio.i,9_10811210,9,17.5,0,93,2.546489820504547,10.811,2.486,146.024,143.538,2.283
Al_leaf.i,9_12106919,9,21.85402581,5,46.5,2.3922627356921566,12.107,5.321,24.08,18.759,1.916
Al_ratio.i,9_12726027,9,23,20.5,40.5,3.5849226719900287,12.726,11.403,20.983,9.58,2.534
Al_seed.i,9_13457032,9,24.60116773,18.73913662,46.4353459,2.481182550191555,13.457,11.139,24.08,12.940999999999999,1.861
Na_leaf.f,9_134175873,9,64,57.5,71.5,6.258131167938728,134.176,118.966,139.231,20.265,4.872
Sr_seed.f,9_146412013,9,94.62873448,82.5,104,4.670904962083174,146.412,142.192,149.693,7.501000000000005,4.597
Ni_seed.i,9_149693494,9,102.3053267,94.62873448,118.0826664,2.791471402444216,149.693,146.412,153.187,6.775000000000006,1.886
Na_ratio.i,9_150518204,9,110.5,45.5,118.0826664,2.49011073769654,150.518,24.08,153.187,129.10700000000003,2.364
